Name,Summary
The Pioneers,"The Pioneers is a social experiment that follows four couples for three months as they trade in their 21st-century comforts for covered wagons, campfires, and the harsh reality of life on the American prairie."
Sacred Journeys with Bruce Feiler,Join best-selling author/adventurer Bruce Feiler on an epic journey as he travels with contemporary pilgrims on six historic pilgrimages around the world and explores how these sacred landscapes and revitalized routes are reshaping faith.
Hitler the Junkie,"Hitler the Junkie is a hard-hitting and in-depth special examines the medications Hitler was taking, how much he took and how often, and whether drugs played a role in his behavior and actions."
Biblical Conspiracies,"Each year, amazing new discoveries bring the Biblical ancient world to life, but rather than solve riddles, the discoveries only seem to shroud the era deeper in controversy and myth. Biblical Conspiracies will explore several of the most unexpected finds of the last few years-and uncover the bizarre secrets behind them. With the aid of cutting-edge technology, this four-part series brings viewers to the crumbling tombs, palaces and ruins of the Holy Land in search of ancient conspiracies hidden away for thousands of years."
Amish Renogades,"Master craftsmen Albert, Robert and Leon from DIY Network's <i>Vanilla Ice Goes Amish</i> are fish out of water when they travel across the country to work on home improvement projects outside of their Amish community. From Boston to the bright lights of Las Vegas and the beaches of Southern California, it's a brave new world when they tackle modern tasks like managing social media and driving a car."
Barmageddon,"The Shake Up is a fun, competition series that seeks to settle once and for all which bar owner has the best recipe for success. In each episode, comedian Mo Mandel travels to a different city and pits two bar owners against each other. The goal is to see who can turn the most profit...while running the other owner's bar. The result is a wild rollercoaster ride of comical conflicts and one-upmanship as the bosses compete to see who can win over new staff and customers with their charm and skill."
My Crazy Love,"This anthology series follows the wild, romantic and hilarious things men and women have done in the name of love. Each week, real people share their personal stories about a time in their life when the intoxication of love led them to extreme behavior and embarrassing acts. From jumping out of a plane to hiding out in a girlfriend's closet, this series reveals it all through stylized reenactments and interviews. Celebrities such as Adrienne Bailon and Cheryl Burke also confess their outrageous stories. With amazing twists, turns and shocking revelations, did these lovers' bold gestures work or did they take it too far? ""My Crazy Love"" is part of Oxygen's rebrand, which launches on Tuesday, October 7th across all platforms, showcasing the network's new logo and tagline, very real, targeting young, modern women."
Friends of the People,"In the show, comedians Kevin Barnett, Jennifer Bartels, Jermaine Fowler, Lil Rel Howery, The Lucas Bros. and Josh Rabinowitz will take sketch comedy to the next level, with a combination of scripted scenes, man-on-the-street segments and more, including a previously-untold story from television history, and the adventures of ""Tracy Morgan Freeman."" truTV has ordered 10 episodes of Friends of the People, which is being produced by 3 Arts Entertainment and Marobru Productions."
Bye Felicia!,"White women of LA are getting a serious confidence boost and a little dose of reality with the series premiere of ""Bye Felicia!,"" premiering Tuesday, December 9 at 9PM. This 8-episode, hour long series follows Atlanta-based life coaches Deborah Hawkes and Missy Young as they set out to help white girls across the Los Angeles area. Each closed-ended episode aims to empower two different women who could use a dose of honesty in order to turn their lives around. Hoping to impart their unique experience and wisdom through motherly tough love, Deb and Missy teach these women to say hello to their better selves and goodbye to Felicia."
Nail'd It!,"Nail'd It pits 18 of the best up-and-coming nail artists against one another as they claw their way to the top to claim a life-changing grand prize of $100,000. The series premiere coincides with Oxygen's rebrand on Tuesday, October 7th across all platforms, launching the network's new logo and tagline, very real, targeting young, modern women."
Risking It All,"Three families not only unplug their smartphones and tablets, but they also give up electricity and running water for a life off the grid in a drastic last resort to reconnect with each other. From attempting to save their marriage to dealing with family illness to regaining control of their relationships, each family has a different reason for embarking on the journey of a lifetime. The three families pack up their homes, say their good-byes to loved ones, and prepare for the challenges that come with trading in the luxuries of modern-day society for a self-sufficient life."
The Sisterhood: Becoming Nuns,"The Sisterhood follows five young women who are considering the life-changing decision of taking religious vows to become Catholic nuns. For the first time ever, cameras were granted access to three convents* where the women live and work together alongside nuns during the discernment phase, the process wherein they decide if they want to formally continue on their holy path.In observance of the sacred vows of chastity, poverty and obedience, they leave behind everything they have come to love - boyfriends, family members and all their worldly possessions - to see if they have what it takes to become servants of the church and brides of Christ."
Country Buck$,"Country Buck$ follows the Busbice family who founded Wildgame Innovations, a small hunting gear business that has grown into a multi-million dollar wildlife sporting empire. Their 55,000-acre ranch (three times the size of Manhattan), a sportsman fantasy camp in Louisiana, serves as the testing ground for their new products. Follow the Busbice clan as they strive to perfect their high-tech hunting innovations, family-style."
Play for Today,"Play for Today, an anthology series of plays carrying on in the tradition of its predecessor <i>The Wednesday Play</i>, presented controversial works by such writers as Dennis Potter, David Mercer, Alan Bennett, and Jim Allen, with such directors as Ken Loach, Alan Clarke, Philip Saville, and Mike Newell. Several plays in the series led to various spin-offs, including <i>Play for Tomorrow</i> and <i>Rumpole of the Bailey</i>."
Pawnography,"In each episode of Pawnography, contestants will compete against each other and 'The Pawn Stars' in three rounds of trivia style questions - that escalate in difficulty as the rounds advance - to win money and coveted items from the World Famous Gold &amp; Silver Pawnshop. Rick, Corey &amp; Chumlee are featured in each episode as they vigorously defend their treasured items from confident and brainy contestants. The cherished items up for grabs are from Rick's personal collection and he doesn't want to give them up - this is the only game show that doesn't want the contestants to win!"
WWII in HD,"WWII in HD is the first-ever World War II documentary presented in full, immersive HD color. Culled from thousands of hours of lost and rare color archival footage gathered from a worldwide search through basements and archives, WWII in HD will change the way the world sees this defining conflict. Using footage never before seen by most Americans–converted to HD for unprecedented clarity—viewers will experience the war as if they were actually there, surrounded by the real sights and sounds of the battlefields. Along the way, they'll meet a diverse group of soldiers whose wartime diaries and journals show in visceral detail what the war was really like.This visually astonishing landmark series presents the story of World War II through the eyes of 12 Americans who experienced the war firsthand. Viewers will hear the story of Army nurse June Wandrey, who served from the beginning of the war in North Africa to the liberation of the camps in Germany. They will meet Shelby Westbrook, a young African American from Toledo, who became a member of the famed Tuskegee Airmen; Jimmie Kanaya, the son of Japanese immigrants, who served in the U.S. Army and was imprisoned in Europe; and Jack Werner, a Jewish émigré who escaped from Austria before the war and wound up fighting not against Hitler and the hated Nazis, but in the Pacific Theater."
Pee-Wee's Playhouse,"Scream along to the SECRET WORD with Pee-wee Herman and his pals — Jambi the Genie, Miss Yvonne, Cowboy Curtis, Reba the mail lady, Captain Carl, Magic Screen, Conky, Globey, Chairry, Pterri, Randy and many more! Aaaaarrrrrrrrr!!! I know you are, but what am I!?! Mecka-lecka hi... Mecka-hiney ho!"
Pregnant in Heels,"Rosie Pope has managed to create a thriving business as the owner/designer of Rosie Pope Maternity, the ultra high-end maternity brand for the most sophisticated and urban mothers-to-be. Rosie - the tough talking, straight shooting coach for the most privileged expecting mothers of Manhattan -- advises her clients on everything from planning baby showers and hiring staff to decorating nurseries and organizing Brazilian waxing for the labor room."
Are You Smarter Than a 5th Grader?,"Class is back in session with all new half hour episodes of the hit quiz show, Are You Smarter Than a 5th Grader? Acclaimed comedian Jeff Foxworthy is at the head of the class as host of this atypical game show, which measures adults' lack of knowledge – as revealed by how much they've forgotten since grammar school. <br /><br /> Adult contestants find themselves revisiting their youth in a classroom setting, tackling subjects they've already been taught – from art to geography and math to social studies."
NY Med,"What do grandmothers, addicts and celebrities have in common? All of them seek care at Columbia and Weill Cornell Hospitals, the crown jewels of the prestigious New York-Presbyterian Hospital in New York City. For a full year ABC cameras had unprecedented access to document the mayhem and the miracles that occur daily in these world class facilities. ""NY Med"" follows the irascible, compassionate and, at times, cocky attending surgeons who try to change the trajectory of lives by relying on sheer medical brilliance and a healthy dose of old fashioned good luck."
Comedy Bang! Bang!,"Comedy Bang! Bang! cleverly riffs on the well-known format of the late night talk show, infusing celebrity appearances and comedy sketches with a tinge of the surreal. In each episode, Aukerman engages his guests with unfiltered and improvisational lines of questioning, punctuated by banter and beats provided by bandleader, one-man musical mastermind Reggie Watts to reinvent the traditional celebrity interview. Packed with character cameos, filmic shorts, sketches and games set amongst an off-beat world, <i>Comedy Bang! Bang!</i> delivers thirty minutes of absurd laugh-loaded fun featuring some of the biggest names in comedy."
The Tonight Show with Jay Leno,"The Tonight Show with Jay Leno is an American late-night talk show currently hosted by Jay Leno, on NBC. It made its debut on May 25, 1992, following Johnny Carson's retirement as host of The Tonight Show. The nightly broadcast at 23:35 (Eastern) originates from NBC's studios, in Burbank, California."
Wife Swap,"Have you ever wondered whether the grass is greener on the other side of the fence? Two wives discover that it often isn't when they hand over the keys to their homes and literally switch families — but not bedrooms — for two weeks on the new reality show Wife Swap, already a critically-acclaimed smash hit in its third season in the U.K.<br /><br />Wife Swap is not a competition or a contest. It is a reality show unlike any other, where the battlegrounds are the kitchens and living rooms, child-rearing is a subject of intense and heated debate, and the outcome isn't a cash prize, but a couple's opportunity to re-discover why they love each other and decided to marry in the first place.<br /><br />In the first week of the swap, the wives move in with their new family and adopt their very different lifestyle. They agree to follow a manual written by the departing wife that sets out the rules of their new household – how they parent, shop, do the house work, manage their budgets and their social life. But then, in the second week, everything changes. The new wives take charge. They introduce their own set of rules and get to run the new household their way. It's a radical shock to both families. The results are explosive, enlightening and often very funny. This is a show about the things that really matter to families across America.<br /><br />At the end of the show, the two couples meet for the first time. In a highly-charged exchange of views, both couples make a frank assessment of each other and talk about what they've learned from the experience."
Hotel Impossible,"Competition is fierce in the hotel business. Online review sites can kill a business' reputation with one bad review. Staffs are untrained, surly or apathetic in a profession that lives or dies on service. So what's a struggling hotel operator to do? Bring in Anthony Melchiorri, a hotel ""fixer,"" who can turn any establishment around in weeks ... and he does just that in Hotel Impossible."
Full Throttle Saloon,"The world's largest biker bar, the Full Throttle Saloon, is open for only 10 days a year in August. This year, owner Michael Ballard has to turn a profit during the Sturgis Motorcycle Rally. From managing a full staff of bartenders and dancing girls to hosting big name concerts, burlesque shows and other biker-friendly acts; keeping it all together is more than most people could handle."
Heroes Unmasked,"A behind-the-scenes look at the series ""Heroes"" narrated by Anthony Stewart Head."
The Hard Times of RJ Berger,"The Hard Times of RJ Berger orbits the hilariously-hellish lives of a deeply unpopular 15 year-old and his scheming, sex-obsessed best friend, Miles Jenner. Other than pining after the girl of his dreams, Jenny Swanson, receiving daily beatings from the meanest jock in school, Max Owens and evading the stalker-ish advances of Lily Miran, there really isn't much excitement in RJ's life. That is, until his anatomical gift is accidentally exposed to the entire school.In a single moment, RJ goes from anonymous to infamous, and for the first time in his life, he feels a tiny sliver of confidence. Swept up in this man-sized wave of recognition, we'll watch RJ claw his way out of the popularity basement. Whether it's trying to get laid, dealing with his bizarre parents, or simply navigating the treacherous waters of sophomore year, RJ will live out the stories -- good, bad and ugly -- that we all remember from high school. One mis-adventure at a time, we'll see him grow from a shy, awkward boy into a slightly less shy and awkward young man. Part The Wonder Years and part Superbad, <i>The Hard Times of RJ Berger</i> is a loud, funny, raunchy, sexy look at the life of lovable loser."
How It's Made: Dream Cars,"Ever wonder how common, everyday objects are made? Science Channel fan favorite HOW IT'S MADE returns for another season of exploring how many of the everyday objects or products we seldom stop to think about are made. From hockey pucks and hand saws to drill bits and frozen french fries, 'How It's Made' offers viewers a first-hand look at how these deceptively simple objects are constructed. Thousands of humdrum items are put to good use on a daily basis, but it's easy to overlook how things like aluminum ladders, firefighter helmets, matches and engine blocks are constructed. How It's Made: Dream Cars visits dozens of assembly lines where raw materials become finished products right before the viewers' eyes. In each episode of the series, viewers will be amazed to see how many common items are manufactured in high-tech factories around the world."
Taboo,"We've taken you around the world exploring behaviors and lifestyles that are acceptable in some cultures but forbidden, illegal or reviled in others. But this season, we're looking in our own backyard. <i>Taboo USA </i>goes behind the closed doors and picket fences of America's most normal looking homes to find a fringe few that can only be described as... taboo. And we're showcasing those willing to push the boundaries of taste, societal acceptance; those obsessive about their hobbies, their relationships, and their lifestyles."
Extreme Weight Loss,"<i>""Extreme Weight Loss""</i> is a unique undertaking that's unlike anything you've ever seen TV. The show documents the amazing makeover of seventeen courageous, obese individuals who set out to safely lose half of their body weight over the course of a year. The metamorphosis is truly amazing. Trainer/transformation specialist Chris Powell (The 650-Pound Virgin) guides each of the seventeen participants through the process after moving into their homes. He's there to make sure the participants get the proper nourishment and exercise movement. Chris provides a fresh perspective to individuals whose lives have become unmanageable because of their weight."
Rude Tube,"In a fast-paced review of the video viral revolution, Alex Zane presents a countdown of the funniest, rudest and most bizarre video clips to have taken the internet by storm."
Tattoos After Dark,Tattoos After Dark is a U.S. reality show following after-hours events at two Los Angeles tattoo parlours and the antics of their staff and customers.
Posh People: Inside Tatler,"Documentary which goes behind the scenes at Tatler, the world's oldest magazine. The publication has been reporting on the lives of Britain's most privileged and powerful for 300 years."
Rewrapped,"Iconic snack foods are transformed in Rewrapped, a new competition series hosted by Joey Fatone. From Twinkies to Goldfish to SpaghettiOs, three competitors use their talents to recreate and innovate America's most beloved snacks. First, the challengers attempt to duplicate the original item from scratch. Then it's onto the second round, where they must use the snack food in a completely original dish. Led by head judge Marc Summers and a panel of expert judges, only one can be crowned the Rewrapped champ!"
The Legend of Mick Dodge,"25 years ago, Mick Dodge walked away from the modern world, leaving civilization behind to live alongside nature's wonders in the Olympic Peninsula. Following a primal instinct present throughout generations of his family, Mick ventured deep into the Hoh Rainforest, making his home in the trees and hidden in the moss. Experience the wild life of Mick Dodge, a quirky character whose unique brand of Zen comes from living by his own code – off the land and off the grid."
Project Runway: Threads,"Project Runway: Threads is a competition series showcasing America's most talented young fashion designers. Each week, three new contestants pull out their scissors, sketchbooks and skills to see who can out-design the competition and set the new standard for the future of fashion. Challenges will be fast-paced, unpredictable and far from child's play as these nascent fashion powerhouses compete for $10,000 to be used at any Jo-Ann Fabrics and Crafts Store or Joann.com, a prestigious scholarship to the summer program at FIDM including travel expenses and a top-of-the-line sewing and embroidery studio courtesy of Brother International Corporation."
Top Chef Duels,"Bravo Media turns up the heat in a new culinary competition series Top Chef Duels premiering Wednesday, August 6 at 10 PM ET/PT as the network brings back the best culinary talent ever seen on ""Top Chef"" and ""Top Chef Masters"" for a gastronomic battle royale of epic proportions. Hosted by celebrity chef Curtis Stone, the newest iteration of the Emmy Award-winning franchise pits eighteen of the biggest, boldest and most talked-about personalities from past seasons against one another in high-stakes cooking challenges designed to test their passion and imagination in the kitchen. In addition to his role as host, Curtis Stone will also anchor the judges' table with Gail Simmons, while chefs Wolfgang Puck and Hugh Acheson along with other special guests will round out the judging panel throughout the series. In each episode, two chefs will face-off in three rounds of head-to-head battles testing their skill, creativity and speed. Rivalries will be intensified as ""Top Chef Duels"" ups the ante and allows the competing chefs to each pick one mini-duel based on the other's perceived weaknesses in the kitchen. The third and final challenge of each episode will decide who moves on to compete in the ultimate high-stakes season finale where 10 chefs will be confronted with split second decisions as they lay it all on the line in the greatest challenge of their careers. In the end, only one chef will earn bragging rights and win the $100,000 grand prize and a culinary adventure that will be featured in Food and Wine Magazine."
The Haunted,"The Haunted is a chilling and frightening show featuring true horror stories about animals, humans and the paranormal. Each program features one or two stories recounted by the people who actually experienced them. Cinematic recreations serve to heighten the drama caused by animal and human contact with the unexplainable and to bring the witnesses' testimonies to life."
Great Continental Railway Journeys,"Michael Portillo travels on the great train routes of Europe, as he retraces the journeys featured in George Bradshaw's 1913 Continental Railway Guide."
Pioneers of Television,"Each episode melds compelling new interviews with irresistible clips to offer a fresh take on TV's biggest celebrities. Featured stars in this season's four new episodes include Jerry Seinfeld, Robin Williams, Roseanne Barr, Bill Cosby, Tim Allen, Ray Romano, Noah Wyle, Anthony Edwards, Diahann Carroll, Howie Mandel, Bob Newhart and many more."
Don't Tell the Bride,"The groom is put in charge of the big day, with the budget and every detail of the brides dream wedding day in their control. Originally airing on BBC Three, the show moved to Sky in 2016 and to E4 in 2017."
Eggheads,General knowledge quiz in which teams from all over the UK battle to beat the formidable Eggheads.
Strange Sex,"With first hand accounts and commentary from medical professionals, each half-hour episode sends viewers on an unrestricted journey into an entirely new world of sex. The focus of the show will be bizarre conditions, such as the fictional sex addiction, fetishes and kinky sexual behavior.<br><br> An Iraq war veteran who only experiences pain during intercourse and a former Broadway star and sex educator who learned to ""think"" herself into having an orgasm would be some of the cases featured in the series. Other examples are someone with balloon fetish and a woman who wants orgasm during childbirth."
American Chopper: Senior vs. Junior,"What was once a family business is now a family feud. All bets are off for what new fireworks await in American Chopper: Senior vs. Junior. Paul Senior builds world famous custom bikes at Orange County Choopers while Paul Junior operates his competing shop, Paul Jr. Designs, just a stone's throw down the road, with brother Mikey and former OCC employees firmly by his side. Will the family be made whole again? And what new out of this world build assignments will they take on to stretch their teams creatively and mechanically?"
LA Ink,"In her time on LA Ink, fans have watched Kat go from celebrated tattoo artist to fully developed entrepreneur. In the past year, Kat launched a successful line of cosmetics at Sephora and had her book hit The New York Time's Best Sellers List. As her profile has risen, so has the shop's business - and the pressure to succeed.All of this leads into a new season that finds Kat facing familiar challenges, but quickly explodes with a level of drama and action never seen before. Kat Von D, known for her no-nonsense, tell-it-like-it-is demeanor has made an indelible mark on the tattoo industry. Her success in a male dominated field is inspiring, but it comes with its share of stress. While Kat is focused on expanding her product line and writing a new book, the shop faces unexpected - and unwelcome - changes. The introduction of new shop manager, Aubry Fisher, (from <i>Rock of Love</i> fame) is just one example.Playing by her own rules, Kat lives a fast-paced, rebel lifestyle. Hers is a life of freedom: she sets her own schedule, picks her clients, sleeps late,and parties all night. For her shop to be a continued success, Kat will need to learn how to balance her lifestyle and her business while managing a colorful staff of renowned artists. <i>LA Ink</i> offers a rare glimpse into an LA that is seldom seen, through the eyes of a true insider."
Gangland,"They rob, kill, and terrorize, and they've left their bloody mark on American history. This is the world of Gangland.The <i>Gangland</i> series tells the insider story of some of America's most notorious street gangs. We learn how they've shaped their times and affected the neighborhoods that they controlled. From the destruction wrought by the heroin kingpins in Harlem of the 1970s to today's most dangerous gang MS-13, which has spread out from the inner city to infect unexpected turf —suburban communities—gangs have a rich yet deadly history. They usually start out as a form of protection for their members and community but then grow predatory as they feed on the very people that they purport to defend. With exclusive interviews and rarely seen footage, this is a raw look at life inside these gangs—from those who live it and the agencies that are working to stop them."
Operation Repo,"It's the fast-paced, high-pressure world of car repossession with a team of highly-trained professionals from California's San Fernando Valley. No matter how angry you get, they're taking back your car."
Hawthorne,"At Richmond Trinity Hospital, Director of Nursing Christina Hawthorne is locked in a battle against forces far too large for any one person to handle. Whether fighting to see that a homeless woman is treated like a human being, talking a close friend and suicidal cancer patient off a ledge, accommodating the clashing egos of the hospital's talented doctors and administrators, or managing a nursing staff of grizzled veterans and idealistic young rookies, she's the much-needed conscience for an organization that all too often forgets whom it's there to serve. Still learning to cope with the death of her husband and make peace with her powerful and grieving mother-in-law, Christina looks to balance her pressure cooker career with raising a smart but willful teenage girl as she tries to change a broken system, one patient at a time."
19 Kids and Counting,"19 Kids and Counting (formerly <i>17/18 Kids and Counting</i>) follows Michelle and Bob Duggar as they deal with the challenges of raising a family of ten boys, eight girls and baby Josie Duggar."
Hollywood Heights,"Romance and deceit. Fame and heartbreak. Success and secrets. Welcome to Hollywood Heights, where they put the DRAMA in family drama. Follow Loren, an aspiring songwriter and straight-A high school student, as her life drastically changes. When Loren gets thrown into the spotlight suddenly, and meets her musical idol, Eddie Duran, nothing will ever be the same for anyone. The obstacles that come with life and fame become instantly apparent, but it's the strong bond between friends and family that help them all through."
Bang Goes the Theory,Investigating the science behind the headlines and making sense of the issues that matter.
The Real World,"Each year, The Real World producers choose a group of seven people in their 20s, from different backgrounds and countries, to live together in a major city. The series presents their spontaneous, unscripted interactions with one another and the world around them."
Talking Bad,"Talking Bad features Hardwick spending time with fans, actors, producers and tv enthusiasts, recapping the most recent <i>Breaking Bad</i> episode, and taking questions and comments from viewers. Fans may continue to engage with the after-show following the on-air conclusion, online, at amc.com for more videos, weekly polls and photo galleries of the guests featured on the series."
Newport Harbor: The Real Orange County,"Chrissy, Clay, Allie, Grant, Chase, Taylor and Sasha are heading home for the holidays. It's Chrissy's first trip back to Newport since leaving for college and deciding to make her long-distance relationship with Clay work. But did the absence make their hearts grow fonder or was this first love easy to forget? Chase has moved on from his unpredictable relationship with Taylor, and jumped head first into a new romance with Kylie, Chrissy's sorority sister. And back from Europe, Allie is trying to make her way in the big city of Los Angeles. Will she be able to leave the pampered life of Newport behind and forge a new independence? New loves, lost loves, life-changing decisions and a group of friends that will try to stay together forever. Newport Harbor: you can always come home."
The Glee Project,"During the 11 week run of season two of The Glee Project, 14 talented contenders will be narrowed down as the creative forces of ""Glee"" carefully assess who has what it takes to win the prize of a lifetime - a seven episode guest starring role on the hit FOX series. Ryan Murphy joins casting director Robert Ulrich, choreographer, ""Glee"" co-producer Zach Woodlee and vocal producer Nikki Anders in the final deliberations of each installment of the series."
The City,"In its second season, new betrayals and new alliances add up to 12 all-new, jaw-dropping episodes as Whitney Port, Roxy Olin, Olivia Palermo and Erin Kaplan continue to traverse the New York City fashion industry and their relationships with each other. During the first season, fans were captivated as Whitney transformed her life by leaving Los Angeles behind for New York where she risked everything to start her own clothing line. When the show returns, Whitney and the rest of the cast will learn the hard way that in New York City climbing your way to the top means doing it alongside both friends and enemies."
Angel o Demonio,"The Angels and the Fallen, the forces of good and evil, wage a constant bloody war. As supernatural beings that live among us, they are part of our daily reality and are the cause of much of what happens to us every day."
Audrina,"Besides Audrina's blossoming career and tumultuous love life, the television personality has something else to focus on - her family. VH1's Audrina will introduce the world to a never-before-seen side of Audrina - her large, outrageous, Orange County family. As she advances her acting, modeling and business career, she is juggling a prominent role in her large, tight-knit family. With her tell-it-like-it-is mom, Lynn, and chilled-out dad, Mark, at the center of this crazy bunch, Audrina is still expected to have an active presence in the lives of her three younger siblings: former wild child Casey, now married to motocross star Kyle Loza and mother of two; genial younger brother Marky, who aspires to pro motocross himself and has an annoying habit of befriending Audrina's exes; and 15-year-old sister Samantha, who is already exhibiting a rebellious streak that could put Casey and Audrina's to shame. Work-focused and family-oriented, yet still sexy and dynamic, Audrina shows a personal side of herself on VH1 that is funny, relatable and endearing to anyone who's ever had to balance the expectations of family and friends against their own hopes and dreams. From her #1 debuting album Kaleidoscope Heart, Sara Bareilles' anthemic song ""Uncharted"" is the theme music for VH1's Audrina. Other songs from ""Kaleidoscope Heart"" will also be used throughout the series as featured placements."
Punta Escarlata,"Misterio, suspense y elementos característicos del thriller se suceden en esta serie que plantea en nueve episodios la resolución de un oscuro caso en un lugar lleno de secretos, vicios inconfesables y conflictos que han prevalecido a lo largo de los años. Al llegar a Punta Escarlata,Bosco (Carles Francino) y Max (Antonio Hortelano) se encuentran con serias dificultades para esclarecer lo sucedido, pese a la ayuda del sargento Reyes (Fernando Cayo), que dirigió la investigación en el pasado. Los habitantes del pueblo son reacios a remover el pasado y prefieren ocultar lo que saben, vieron o escucharon. Pronto descubren que nada es lo que parece. Además, a medida que avanzan en la investigación se suceden una serie de nuevos e inquietantes asesinatos que podrían estar relacionados con los ocurridos ocho años atrás en su intento por desenmascarar a los culpables."
Acusados,"Rosa Ballester is a judge who prosecutes the businessman Joaquín de la Torre for believing him responsible for a fire in a club. To that end, Ballester requires the services of Jorge Vega, who moves from Salamanca to Madrid in order to help with the investigation, unbeknownst the main reason behind the requirement of Ballester is that the latter wants to approach Vega's girlfriend Laura Nieto, supposedly a key piece in the case."
Motivos Personales,"La historia comienza en la fiesta de conmemoración del 50º aniversario de los Laboratorios Acosta. Todo parece ir bien hasta que aparece muerta la secretaria del presidente de los laboratorios, estampada contra un techo de cristal dentro del edificio, Mara Yimou. Los indicios en principio indican que el culpable es el marido de la periodista Natalia Nadal, Arturo Acosta. En el juicio es declarado culpable y encerrado en prisión. Natalia descubre gracias a un video, que el juicio se basó en pruebas falsas y va a comunicárselo a su marido a la cárcel. Allí le dan una noticia: su marido se ha suicidado. A partir de este momento, Natalia empieza a investigar junto a su amiga Virginia, la abogada de los laboratorios, y juntas se ven envueltas en una complicada red de secretos y crímenes. Las causas de las muertes se remontan muchos años atrás y son fruto de una fría venganza contra Natalia."
Hay alguien ahí,"Mientras Diego Pardo, el cabeza de familia, cierra el acuerdo en la inmobiliaria para mudarse con los suyos a la casa de sus sueños. Los obreros se encargan de los últimos retoques en la reforma de la vivienda. Es entonces cuando sucede algo inesperado y, desde el interior del pozo que hay en el sótano, una fuerza sobrenatural se cobra su primera víctima...<br><br> Ajenos a lo sucedido, la familia hace la mudanza con todas sus esperanzas puestas en una vida mejor y sobre todo más tranquila. Sin embargo, las presencias que habitan en la casa no tardan en manifestarse. Con la intención de contactar con ellas, Íñigo se las ingenia para quedarse solo en casa y organizar una sesión de espiritismo con su novia Silvia y sus amigos. Algo que jamás habría hecho si hubiera sospechado las terribles consecuencias... Y es que hay puertas que nunca se deben abrir."
Sorority Sisters,"Nine women, who continue to honor the traditions and legacies of their respective sororities and chapters, all agree on one main principle: sisterhood doesn't end after graduation, it's for life. For these friends and sisters (or 'sorors') from celebrated historically black colleges and universities in Atlanta, strong ties to their organizations lead to fierce rivalries, but through thick and thin, these women stand united and share an unbreakable bond. ""Sorority Sisters"" follows the lives of women from four different sororities. Since these 'sorors' are pledges for life, they are expected to continue their community work long after graduation. From long-awaited reunions, to managing the men in their lives, for these line sisters, it's homecoming all across the ATL. These ladies have a lot at stake - their aspirations, reputations, livelihoods, friendships, and families - and the legacies of their sororities."
Sons of Guns,"Will Hayden is an American success story. Having turned his Louisiana-based small business, Red Jacket Firearms, into a regional powerhouse, he's ready for the next step for himself and his family. Like so many American small businesses, Will's journey from garage based gun shop to the pride of Baton Rouge is rife with personal sacrifices and some risky decisions."
Viper,"Viper was an action-adventure TV series about a secretive task force set up by the federal government to fight crime in the fictional city of Metro City, California, that is perpetually under siege from one crime wave after another. The weapon used by this task force is an urban assault vehicle that is disguised as a 1993 Flame Red Dodge Viper RT/10 Roadster and, later, a 1998 Cobalt Blue Metallic Dodge Viper GTS Coupe (which replaced the Roadster convertible). The series takes place in ""the near future"". The primary brand of vehicles driven in the show were Chrysler or their subsidiary companies."
Verano Azul,"This series is about the adventures of a bunch of youngsters during their Summer holiday in a small town in the Southern Coast of Spain. The seven kids: Quique, Javi, Pancho, Bea, Desi, Tito and Piraña, within an age range of eight to sixteen, meet there two adults, with whom they share many new experiences, Julia, a painter, and Chanquete, an old, wise and lovable retired sailor who lives in a boat set on a hilltop. Throughout the 19 episodes several key themes are dealt with: teenage, coming of age, death, generational gap, the right to protest, ethical values, family relations, building companies' speculation in the Spanish coastline etc."
Ultimate Survival Alaska,"One of the toughest competitions in the world is back for round three as 12 of the world's toughest outdoorsmen face off against each other, Mother Nature, and their own will to survive. This fight to the finish isn't about money or a prize; it's about pushing the limits of human endurance. It's a dangerous test of strength and determination. And in the end, only one team will be crowned the winner. Four teams—Military, Endurance, Alaskans, and this season's new team, Lower 48—face peaks, deadly tidal waves, massive glaciers, bottomless crevasses, man-eating predators and treacherous white water. In each of the 13 legs this season, teams have just 60 hours to make it from start to finish … surviving off the land with only the gear on their backs. No GPS. No phones. No mercy."
The State Within,"Nothing is what it first appears...Sir Mark Brydon is the British Ambassador to Washington, who finds himself at the centre of a terrifying conspiracy that could bring down Western Government.As Mark the Ambassador fights to prevent a looming war, Mark the man is faced with a terrible dilemma. In a world of high stakes where manipulation of information means ultimate power – who can Brydon trust? As Mark slowly realises that he's being played by an invisible puppeteer, he cannot even begin to imagine where the conspiracy ends.At what point do you sacrifice the truth for the sake of your nation? At what point do you sacrifice your nation for the truth?"
South Riding,"The lives and loves of a 1930s Yorkshire town explored in a passionate tale of politics in small places, written by Andrew Davies, starring David Morrissey and Anna Maxwell Martin."
South of Nowhere,South of Nowhere is about a group of teens in Los Angeles trying to bridge the gap between who they are and who they want to be.
Six Degrees,"They say that anyone on the planet can be connected to any other person through a chain of six people, which means that no one is a stranger for long. In this new drama from the producers of Lost and Alias, six very different New Yorkers go about their lives without realizing the impact they're having on one another, but a mysterious web of coincidences gradually draws them closer, changing the course of their lives forever, on Six Degrees, a new ensemble drama about the possibilities of a greater force at work guiding everyone together and connecting the lives of us all."
